id,age,salary,experience_years,department,city,performance_score,bonus,working_hours,satisfaction_level
1,56.0,125186.0,2.0,Finance,Bangalore,2.69,18771.0,56,0.69
2,69.0,54674.0,39.0,HR,Delhi,1.34,,51,0.28
3,46.0,55854.0,33.0,Sales,Pune,3.43,42330.0,45,0.69
4,32.0,66271.0,39.0,HR,Mumbai,4.52,29320.0,30,0.31
5,60.0,93688.0,26.0,Marketing,Delhi,4.53,4340.0,41,0.76
6,25.0,,,Marketing,Ahmedabad,3.64,34924.0,53,0.62
7,38.0,131076.0,32.0,Marketing,Mumbai,1.84,16184.0,31,0.08
8,56.0,30267.0,5.0,HR,Pune,4.45,40734.0,50,0.51
9,36.0,110825.0,23.0,Finance,Pune,4.54,2580.0,54,0.34
10,40.0,21062.0,18.0,Finance,Ahmedabad,1.79,40025.0,37,0.33
11,28.0,136664.0,15.0,IT,Ahmedabad,3.95,28967.0,47,0.6
12,,70448.0,39.0,Marketing,Mumbai,2.15,2159.0,54,0.32
13,41.0,115462.0,27.0,Finance,Bangalore,4.21,48940.0,45,0.78
14,53.0,,32.0,IT,Ahmedabad,4.99,13900.0,34,0.07
15,57.0,76793.0,12.0,Finance,Bangalore,1.12,11440.0,55,0.66
16,41.0,,,Marketing,Delhi,4.59,14678.0,59,0.81
17,20.0,67915.0,,Sales,Pune,3.49,47204.0,51,0.67
18,39.0,24632.0,26.0,Marketing,Bangalore,4.89,,42,0.5
19,19.0,124592.0,37.0,HR,Pune,2.86,6772.0,48,0.95
20,41.0,23596.0,6.0,Finance,Bangalore,4.39,1627.0,58,0.3
21,61.0,129779.0,4.0,Finance,Delhi,1.25,44432.0,32,0.02
22,,26168.0,30.0,HR,Ahmedabad,2.34,8219.0,55,0.43
23,55.0,128099.0,22.0,HR,Delhi,,,37,0.03
24,19.0,27561.0,9.0,Sales,Ahmedabad,4.9,30232.0,56,0.95
25,38.0,93794.0,31.0,Finance,Ahmedabad,4.27,42481.0,55,0.21
26,50.0,102152.0,29.0,Finance,Pune,4.41,8488.0,55,0.79
27,29.0,145036.0,38.0,Sales,Delhi,4.75,34949.0,41,0.77
28,39.0,144049.0,30.0,IT,Bangalore,1.34,44362.0,31,0.22
29,,46734.0,17.0,Sales,Delhi,2.54,39932.0,40,0.62
