user_id,age,gender,city,salary,experience_years,department,performance_score,joining_year
1,56.0,Female,Bangalore,,3.0,IT,,
2,,Male,Delhi,,11.0,Finance,,
3,46.0,Male,nan,55000.0,,HR,5.0,2024.0
4,32.0,Male,Pune,,1.0,Finance,,2022.0
5,,Male,Bangalore,115000.0,,nan,,2024.0
6,25.0,Male,Bangalore,,,Finance,1.0,2013.0
7,38.0,Male,Ahmedabad,145000.0,,IT,,
8,56.0,Male,Ahmedabad,,,IT,,2021.0
9,36.0,Male,nan,120000.0,4.0,Finance,3.0,2013.0
10,40.0,Female,Pune,,7.0,IT,,2012.0
11,28.0,Female,Bangalore,,6.0,IT,,
12,28.0,Female,nan,,13.0,Finance,2.0,
13,41.0,Female,nan,60000.0,,Sales,,
14,53.0,Female,Mumbai,135000.0,,Sales,1.0,
15,57.0,Male,Ahmedabad,,2.0,HR,5.0,2021.0
16,41.0,Female,Pune,,,IT,,2013.0
17,20.0,Female,Bangalore,100000.0,,Finance,,2021.0
18,39.0,Female,nan,135000.0,,IT,,
19,19.0,Male,Bangalore,120000.0,,nan,2.0,2024.0
20,41.0,Male,Mumbai,,,IT,,
21,,Male,Pune,,,IT,3.0,2014.0
22,47.0,Male,nan,,,Sales,,2024.0
23,55.0,Female,Bangalore,80000.0,,Finance,3.0,
24,19.0,Female,Ahmedabad,70000.0,7.0,IT,,
25,38.0,Male,Mumbai,,0.0,Sales,,2014.0
26,50.0,nan,Pune,110000.0,,HR,2.0,2022.0
27,29.0,Female,Mumbai,70000.0,11.0,Sales,4.0,
28,39.0,Male,Ahmedabad,80000.0,,Sales,,2022.0
29,,Male,Pune,,10.0,Sales,,
30,42.0,Male,Mumbai,,4.0,IT,5.0,2023.0
31,,Male,Delhi,20000.0,11.0,IT,,2013.0
32,44.0,Male,Ahmedabad,,,HR,5.0,2013.0
33,59.0,Male,Ahmedabad,,5.0,nan,,
34,45.0,Male,Ahmedabad,110000.0,0.0,nan,,
35,33.0,Male,Delhi,75000.0,4.0,nan,1.0,
36,32.0,Female,Delhi,55000.0,,HR,,2022.0
37,,Male,Bangalore,55000.0,13.0,nan,4.0,2021.0
38,,Female,nan,,4.0,nan,5.0,2016.0
39,,Male,Mumbai,75000.0,,Sales,,2021.0
40,,nan,Bangalore,,,IT,5.0,2013.0
41,20.0,Male,Mumbai,,0.0,IT,1.0,2011.0
42,54.0,Male,nan,145000.0,,Sales,,2011.0
43,,nan,Delhi,,,Sales,2.0,2014.0
44,24.0,Female,nan,,8.0,Sales,,2019.0
45,38.0,Female,Delhi,40000.0,,IT,,2019.0
46,26.0,Male,nan,55000.0,,nan,2.0,2018.0
47,56.0,Male,Bangalore,140000.0,4.0,Sales,,2022.0
48,35.0,Female,Pune,,1.0,HR,,2016.0
49,21.0,Other,Bangalore,,14.0,Sales,,2014.0
50,42.0,Female,Mumbai,130000.0,6.0,Finance,,2019.0
51,31.0,Female,Bangalore,,3.0,Sales,,2019.0
52,,Male,Ahmedabad,,0.0,IT,2.0,2015.0
53,26.0,Female,Mumbai,130000.0,12.0,Sales,,
54,43.0,Male,nan,115000.0,,Finance,3.0,2017.0
55,19.0,Male,Mumbai,105000.0,,HR,,2010.0
56,37.0,Male,Pune,105000.0,6.0,nan,5.0,
57,45.0,Female,Delhi,25000.0,14.0,Sales,3.0,2016.0
58,,Male,nan,35000.0,,Finance,1.0,2023.0
59,24.0,Male,Mumbai,,13.0,Finance,,
60,,Female,nan,,,HR,3.0,2018.0
61,25.0,Male,nan,,,IT,2.0,
62,,Female,nan,105000.0,,Sales,1.0,2014.0
