,order_id,customer_id,product_id,order_date,quantity,total_amount,payment_mode,order_status
0,O001,C001,P001,2025-01-05,1,65000,Credit Card,Delivered
1,O002,C001,P003,2025-01-07,2,5000,UPI,Delivered
2,O003,C002,P002,2025-01-08,1,28000,Debit Card,Cancelled
3,O004,C003,P005,2025-01-08,3,2700,Cash,Delivered
4,O005,C001,P010,2025-01-10,1,3200,UPI,Shipped
5,O006,C004,P004,2025-01-11,2,3600,Credit Card,Delivered
6,O007,C005,P006,2025-01-11,1,22000,Net Banking,Pending
7,O008,C006,P009,2025-01-12,2,9000,UPI,Delivered
8,O009,C002,P007,2025-01-13,1,14500,Debit Card,Returned
9,O010,C007,P012,2025-01-13,3,4500,Cash,Delivered
10,O011,C008,P015,2025-01-14,5,3500,UPI,Delivered
11,O012,C009,P014,2025-01-15,1,5200,Credit Card,Cancelled
12,O013,C010,P011,2025-01-15,1,55000,Net Banking,Delivered
13,O014,C003,P013,2025-01-16,2,5600,UPI,Shipped
14,O015,C011,P016,2025-01-16,1,8500,Debit Card,Delivered
15,O016,C012,P018,2025-01-17,1,42000,Credit Card,Pending
16,O017,C013,P017,2025-01-17,1,12500,Cash,Delivered
17,O018,C014,P020,2025-01-18,2,22000,UPI,Delivered
18,O019,C015,P019,2025-01-18,1,38000,Net Banking,Shipped
19,O020,C001,P005,2025-01-19,4,3600,UPI,Delivered
20,O021,C002,P003,2025-01-19,1,2500,Cash,Delivered
21,O022,C003,P002,2025-01-20,1,28000,Credit Card,Delivered
22,O023,C004,P009,2025-01-20,2,9000,UPI,Pending
23,O024,C005,P008,2025-01-21,1,12000,Debit Card,Delivered
24,O025,C006,P010,2025-01-21,3,9600,Credit Card,Returned
25,O026,C007,P001,2025-01-22,1,65000,Net Banking,Delivered
26,O027,C008,P004,2025-01-22,2,3600,Cash,Delivered
27,O028,C009,P015,2025-01-23,10,7000,UPI,Delivered
28,O029,C010,P012,2025-01-23,4,6000,UPI,Cancelled
29,O030,C001,P014,2025-01-24,1,5200,Credit Card,Delivered
