,id,age,salary,experience_years,department,city,performance_score,bonus,working_hours,satisfaction_level,salary_bonus,city_deparment,salary_category
0,1,56.0,125186.0,2.0,Finance,Bangalore,2.69,18771.0,56,0.69,12518.6,Bangalore-Finance,High
1,2,69.0,54674.0,39.0,HR,Delhi,1.34,,51,0.28,5467.4,Delhi-HR,Medium
2,3,46.0,55854.0,33.0,Sales,Pune,3.43,42330.0,45,0.69,5585.4,Pune-Sales,Medium
3,4,32.0,66271.0,39.0,HR,Mumbai,4.52,29320.0,30,0.31,6627.1,Mumbai-HR,Medium
4,5,60.0,93688.0,26.0,Marketing,Delhi,4.53,4340.0,41,0.76,9368.8,Delhi-Marketing,Medium
5,6,25.0,,,Marketing,Ahmedabad,3.64,34924.0,53,0.62,,Ahmedabad-Marketing,
6,7,38.0,131076.0,32.0,Marketing,Mumbai,1.84,16184.0,31,0.08,13107.6,Mumbai-Marketing,High
7,8,56.0,30267.0,5.0,HR,Pune,4.45,40734.0,50,0.51,3026.7,Pune-HR,Low
8,9,36.0,110825.0,23.0,Finance,Pune,4.54,2580.0,54,0.34,11082.5,Pune-Finance,High
9,10,40.0,21062.0,18.0,Finance,Ahmedabad,1.79,40025.0,37,0.33,2106.2,Ahmedabad-Finance,Low
10,11,28.0,136664.0,15.0,IT,Ahmedabad,3.95,28967.0,47,0.6,13666.4,Ahmedabad-IT,High
11,12,,70448.0,39.0,Marketing,Mumbai,2.15,2159.0,54,0.32,7044.8,Mumbai-Marketing,Medium
12,13,41.0,115462.0,27.0,Finance,Bangalore,4.21,48940.0,45,0.78,11546.2,Bangalore-Finance,High
13,14,53.0,,32.0,IT,Ahmedabad,4.99,13900.0,34,0.07,,Ahmedabad-IT,
14,15,57.0,76793.0,12.0,Finance,Bangalore,1.12,11440.0,55,0.66,7679.3,Bangalore-Finance,Medium
15,16,41.0,,,Marketing,Delhi,4.59,14678.0,59,0.81,,Delhi-Marketing,
16,17,20.0,67915.0,,Sales,Pune,3.49,47204.0,51,0.67,6791.5,Pune-Sales,Medium
17,18,39.0,24632.0,26.0,Marketing,Bangalore,4.89,,42,0.5,2463.2,Bangalore-Marketing,Low
18,19,19.0,124592.0,37.0,HR,Pune,2.86,6772.0,48,0.95,12459.2,Pune-HR,High
19,20,41.0,23596.0,6.0,Finance,Bangalore,4.39,1627.0,58,0.3,2359.6,Bangalore-Finance,Low
20,21,61.0,129779.0,4.0,Finance,Delhi,1.25,44432.0,32,0.02,12977.9,Delhi-Finance,High
21,22,,26168.0,30.0,HR,Ahmedabad,2.34,8219.0,55,0.43,2616.8,Ahmedabad-HR,Low
22,23,55.0,128099.0,22.0,HR,Delhi,,,37,0.03,12809.9,Delhi-HR,High
23,24,19.0,27561.0,9.0,Sales,Ahmedabad,4.9,30232.0,56,0.95,2756.1,Ahmedabad-Sales,Low
24,25,38.0,93794.0,31.0,Finance,Ahmedabad,4.27,42481.0,55,0.21,9379.4,Ahmedabad-Finance,Medium
25,26,50.0,102152.0,29.0,Finance,Pune,4.41,8488.0,55,0.79,10215.2,Pune-Finance,High
26,27,29.0,145036.0,38.0,Sales,Delhi,4.75,34949.0,41,0.77,14503.6,Delhi-Sales,High
27,28,39.0,144049.0,30.0,IT,Bangalore,1.34,44362.0,31,0.22,14404.9,Bangalore-IT,High
28,29,,46734.0,17.0,Sales,Delhi,2.54,39932.0,40,0.62,4673.4,Delhi-Sales,Low
29,30,42.0,26371.0,35.0,Marketing,Pune,1.28,18981.0,41,0.05,2637.1,Pune-Marketing,Low
30,31,66.0,138894.0,1.0,Finance,Ahmedabad,1.84,,57,0.48,13889.4,Ahmedabad-Finance,High
31,32,44.0,46069.0,13.0,HR,Pune,1.92,22444.0,47,0.01,4606.9,Pune-HR,Low
32,33,59.0,99905.0,,Marketing,Mumbai,,42058.0,42,0.92,9990.5,Mumbai-Marketing,Medium
33,34,,,28.0,Finance,Mumbai,2.07,18061.0,34,0.98,,Mumbai-Finance,
34,35,,93479.0,11.0,Sales,Bangalore,1.4,2881.0,51,0.22,9347.9,Bangalore-Sales,Medium
35,36,32.0,97735.0,,Marketing,Pune,1.67,29863.0,41,0.21,9773.5,Pune-Marketing,Medium
36,37,64.0,101264.0,1.0,Finance,Bangalore,1.59,45826.0,31,0.75,10126.4,Bangalore-Finance,High
37,38,68.0,43275.0,31.0,IT,Bangalore,4.89,5622.0,34,0.25,4327.5,Bangalore-IT,Low
38,39,,92274.0,12.0,IT,Mumbai,4.04,1378.0,36,0.9,9227.4,Mumbai-IT,Medium
39,40,69.0,101449.0,26.0,HR,Bangalore,4.87,17632.0,55,0.57,10144.9,Bangalore-HR,High
40,41,20.0,120776.0,16.0,Finance,Mumbai,2.76,,55,0.35,12077.6,Mumbai-Finance,High
41,42,54.0,80004.0,39.0,IT,Ahmedabad,2.11,5650.0,53,0.83,8000.4,Ahmedabad-IT,Medium
42,43,68.0,82981.0,30.0,Sales,Pune,4.19,45201.0,41,0.49,8298.1,Pune-Sales,Medium
43,44,24.0,104659.0,33.0,Finance,Bangalore,2.31,42224.0,45,0.91,10465.9,Bangalore-Finance,High
44,45,,,23.0,Sales,Mumbai,2.2,7036.0,52,0.93,,Mumbai-Sales,
45,46,26.0,,34.0,Sales,Delhi,1.93,39255.0,37,0.17,,Delhi-Sales,
46,47,56.0,54529.0,5.0,IT,Bangalore,1.52,22499.0,59,0.0,5452.9,Bangalore-IT,Medium
47,48,35.0,146394.0,18.0,Finance,Ahmedabad,2.03,37016.0,57,0.98,14639.4,Ahmedabad-Finance,High
48,49,21.0,95703.0,29.0,Marketing,Ahmedabad,,4603.0,38,0.91,9570.3,Ahmedabad-Marketing,Medium
49,50,42.0,,,IT,Delhi,3.7,27773.0,44,0.06,,Delhi-IT,
50,51,31.0,37260.0,9.0,IT,Mumbai,1.25,19937.0,34,0.83,3726.0,Mumbai-IT,Low
51,52,67.0,132581.0,31.0,Finance,Bangalore,1.84,12632.0,42,0.46,13258.1,Bangalore-Finance,High
52,53,26.0,23812.0,33.0,Finance,Mumbai,4.24,30607.0,34,0.26,2381.2,Mumbai-Finance,Low
53,54,43.0,48024.0,27.0,Sales,Ahmedabad,1.59,26337.0,40,0.88,4802.4,Ahmedabad-Sales,Low
