,user_id,age,gender,city,salary,experience_years,department,performance_score,joining_year
0,1,56.0,Female,Bangalore,,3.0,IT,,
1,2,,Male,Delhi,,11.0,Finance,,
2,3,46.0,Male,,55000.0,,HR,5.0,2024.0
3,4,32.0,Male,Pune,,1.0,Finance,,2022.0
4,5,,Male,Bangalore,115000.0,,,,2024.0
5,6,25.0,Male,Bangalore,,,Finance,1.0,2013.0
6,7,38.0,Male,Ahmedabad,145000.0,,IT,,
7,8,56.0,Male,Ahmedabad,,,IT,,2021.0
8,9,36.0,Male,,120000.0,4.0,Finance,3.0,2013.0
9,10,40.0,Female,Pune,,7.0,IT,,2012.0
10,11,28.0,Female,Bangalore,,6.0,IT,,
11,12,28.0,Female,,,13.0,Finance,2.0,
12,13,41.0,Female,,60000.0,,Sales,,
13,14,53.0,Female,Mumbai,135000.0,,Sales,1.0,
14,15,57.0,Male,Ahmedabad,,2.0,HR,5.0,2021.0
15,16,41.0,Female,Pune,,,IT,,2013.0
16,17,20.0,Female,Bangalore,100000.0,,Finance,,2021.0
17,18,39.0,Female,,135000.0,,IT,,
18,19,19.0,Male,Bangalore,120000.0,,,2.0,2024.0
19,20,41.0,Male,Mumbai,,,IT,,
20,21,,Male,Pune,,,IT,3.0,2014.0
21,22,47.0,Male,,,,Sales,,2024.0
22,23,55.0,Female,Bangalore,80000.0,,Finance,3.0,
23,24,19.0,Female,Ahmedabad,70000.0,7.0,IT,,
24,25,38.0,Male,Mumbai,,0.0,Sales,,2014.0
25,26,50.0,,Pune,110000.0,,HR,2.0,2022.0
26,27,29.0,Female,Mumbai,70000.0,11.0,Sales,4.0,
27,28,39.0,Male,Ahmedabad,80000.0,,Sales,,2022.0
28,29,,Male,Pune,,10.0,Sales,,
29,30,42.0,Male,Mumbai,,4.0,IT,5.0,2023.0
30,31,,Male,Delhi,20000.0,11.0,IT,,2013.0
31,32,44.0,Male,Ahmedabad,,,HR,5.0,2013.0
32,33,59.0,Male,Ahmedabad,,5.0,,,
33,34,45.0,Male,Ahmedabad,110000.0,0.0,,,
34,35,33.0,Male,Delhi,75000.0,4.0,,1.0,
35,36,32.0,Female,Delhi,55000.0,,HR,,2022.0
36,37,,Male,Bangalore,55000.0,13.0,,4.0,2021.0
37,38,,Female,,,4.0,,5.0,2016.0
38,39,,Male,Mumbai,75000.0,,Sales,,2021.0
39,40,,,Bangalore,,,IT,5.0,2013.0
40,41,20.0,Male,Mumbai,,0.0,IT,1.0,2011.0
41,42,54.0,Male,,145000.0,,Sales,,2011.0
42,43,,,Delhi,,,Sales,2.0,2014.0
43,44,24.0,Female,,,8.0,Sales,,2019.0
44,45,38.0,Female,Delhi,40000.0,,IT,,2019.0
45,46,26.0,Male,,55000.0,,,2.0,2018.0
46,47,56.0,Male,Bangalore,140000.0,4.0,Sales,,2022.0
47,48,35.0,Female,Pune,,1.0,HR,,2016.0
48,49,21.0,Other,Bangalore,,14.0,Sales,,2014.0
49,50,42.0,Female,Mumbai,130000.0,6.0,Finance,,2019.0
50,51,31.0,Female,Bangalore,,3.0,Sales,,2019.0
51,52,,Male,Ahmedabad,,0.0,IT,2.0,2015.0
52,53,26.0,Female,Mumbai,130000.0,12.0,Sales,,
53,54,43.0,Male,,115000.0,,Finance,3.0,2017.0
54,55,19.0,Male,Mumbai,105000.0,,HR,,2010.0
55,56,37.0,Male,Pune,105000.0,6.0,,5.0,
56,57,45.0,Female,Delhi,25000.0,14.0,Sales,3.0,2016.0
57,58,,Male,,35000.0,,Finance,1.0,2023.0
58,59,24.0,Male,Mumbai,,13.0,Finance,,
59,60,,Female,,,,HR,3.0,2018.0
60,61,25.0,Male,,,,IT,2.0,
61,62,,Female,,105000.0,,Sales,1.0,2014.0
62,63,52.0,Male,Delhi,,,Finance,4.0,
63,64,31.0,Female,Bangalore,110000.0,,HR,,2017.0
64,65,34.0,Female,,,,,3.0,2015.0
65,66,53.0,Male,Ahmedabad,,,Finance,1.0,2020.0
66,67,,Male,Pune,115000.0,9.0,HR,4.0,
67,68,57.0,Male,Delhi,,8.0,IT,,2013.0
68,69,21.0,Male,Mumbai,75000.0,,IT,1.0,
69,70,19.0,,Delhi,90000.0,7.0,Finance,2.0,2010.0
70,71,23.0,Male,Mumbai,,9.0,Finance,,2022.0
71,72,59.0,Female,Delhi,,,Sales,2.0,2023.0
72,73,21.0,Male,Mumbai,25000.0,1.0,HR,3.0,2010.0
73,74,46.0,Female,,,5.0,Finance,,2020.0
74,75,35.0,Female,Bangalore,,4.0,Sales,3.0,
75,76,43.0,Female,Mumbai,65000.0,8.0,Sales,,2013.0
76,77,,Female,Mumbai,25000.0,4.0,Finance,,2021.0
77,78,51.0,Male,Ahmedabad,70000.0,,IT,3.0,2019.0
78,79,27.0,Male,Mumbai,80000.0,,HR,,2015.0
79,80,53.0,Other,Ahmedabad,65000.0,8.0,HR,1.0,2010.0
80,81,31.0,Female,Pune,85000.0,,IT,,2016.0
81,82,48.0,,,105000.0,,Finance,3.0,
82,83,,Male,Ahmedabad,60000.0,11.0,HR,1.0,2023.0
83,84,32.0,Female,Bangalore,,6.0,Finance,2.0,
84,85,25.0,Other,,,2.0,Finance,,
85,86,31.0,Male,Ahmedabad,30000.0,9.0,Sales,,2015.0
86,87,40.0,Male,,115000.0,1.0,IT,2.0,2014.0
87,88,57.0,Female,,45000.0,,Finance,2.0,
88,89,38.0,Female,,,2.0,,,2024.0
89,90,33.0,Female,Pune,25000.0,,IT,,2015.0
90,91,,Male,Bangalore,,1.0,HR,5.0,
91,92,35.0,Female,Delhi,,,Sales,,2010.0
92,93,,Male,Delhi,30000.0,9.0,HR,,2010.0
93,94,41.0,Male,Ahmedabad,95000.0,5.0,HR,,2022.0
94,95,43.0,Male,,,,IT,,2012.0
95,96,42.0,Female,Ahmedabad,,10.0,HR,,2019.0
96,97,,Female,Pune,25000.0,,Finance,,2012.0
97,98,58.0,Female,Pune,100000.0,6.0,HR,,2018.0
98,99,46.0,Male,Mumbai,,14.0,Sales,4.0,2017.0
99,100,32.0,Female,Pune,75000.0,5.0,Sales,2.0,2012.0
100,101,,Male,Mumbai,,,,,2022.0
101,102,18.0,Female,Bangalore,,8.0,Sales,4.0,2015.0
102,103,42.0,Male,Ahmedabad,20000.0,,HR,,2022.0
103,104,24.0,Male,Bangalore,,,Sales,4.0,
104,105,26.0,Female,Pune,90000.0,11.0,IT,,
105,106,41.0,Male,Bangalore,145000.0,,Sales,,2021.0
106,107,18.0,Female,Bangalore,,,Finance,,2022.0
107,108,,Female,Bangalore,120000.0,2.0,IT,,2011.0
108,109,25.0,Male,Pune,,14.0,,4.0,
109,110,41.0,Female,,140000.0,1.0,Finance,1.0,2015.0
110,111,28.0,Male,Bangalore,130000.0,,HR,3.0,
111,112,,Female,Mumbai,135000.0,1.0,HR,,2022.0
112,113,34.0,Other,Pune,,,HR,4.0,
113,114,25.0,Female,Bangalore,,2.0,Finance,5.0,2018.0
114,115,52.0,Male,,120000.0,5.0,Finance,,
115,116,52.0,Other,Pune,,14.0,Finance,5.0,2011.0
116,117,50.0,Female,Delhi,105000.0,9.0,IT,4.0,
117,118,22.0,Male,,,8.0,IT,2.0,
118,119,59.0,Male,Mumbai,,0.0,HR,2.0,2016.0
119,120,56.0,Female,Bangalore,,,Sales,4.0,2019.0
120,121,58.0,Female,Delhi,60000.0,5.0,HR,,2019.0
121,122,45.0,Female,Delhi,,8.0,,,
122,123,24.0,Female,Pune,,3.0,IT,,2018.0
123,124,26.0,Female,Delhi,,1.0,Finance,,
124,125,25.0,Male,Mumbai,,3.0,IT,3.0,2024.0
125,126,29.0,Male,Mumbai,,0.0,Finance,,2011.0
126,127,51.0,Male,Ahmedabad,30000.0,,,5.0,2013.0
127,128,50.0,Female,Mumbai,30000.0,,,3.0,
128,129,,Male,,,9.0,IT,5.0,
129,130,40.0,Female,Delhi,,,Finance,,2014.0
130,131,41.0,Female,Mumbai,90000.0,14.0,,4.0,2016.0
131,132,54.0,Female,Pune,,,HR,,
132,133,52.0,Male,Ahmedabad,130000.0,,HR,5.0,2016.0
133,134,,Female,Delhi,,,Finance,,
134,135,57.0,Male,Ahmedabad,70000.0,,IT,,2016.0
135,136,39.0,Female,Delhi,,,,,2013.0
136,137,44.0,Male,Pune,,,IT,4.0,2017.0
137,138,52.0,Male,Ahmedabad,,3.0,HR,,2022.0
138,139,18.0,Female,Bangalore,135000.0,1.0,,2.0,2013.0
139,140,52.0,Male,,,,IT,,2015.0
140,141,54.0,Male,,,12.0,Sales,,2014.0
141,142,,Female,Delhi,,0.0,Finance,,2021.0
142,143,31.0,Female,Bangalore,,,Finance,,2013.0
143,144,20.0,Female,Ahmedabad,50000.0,12.0,Sales,,2018.0
144,145,18.0,Female,Bangalore,35000.0,3.0,HR,,2013.0
145,146,22.0,Female,Bangalore,,6.0,,5.0,
146,147,43.0,Male,Ahmedabad,20000.0,,Finance,,2023.0
147,148,31.0,Male,Pune,20000.0,8.0,Sales,,2014.0
148,149,56.0,Male,Bangalore,115000.0,3.0,Sales,3.0,
149,150,44.0,Other,Bangalore,110000.0,,HR,5.0,2019.0
150,151,26.0,Female,Pune,,0.0,HR,,
151,152,32.0,Male,Bangalore,65000.0,9.0,IT,,2021.0
152,153,32.0,Female,Bangalore,105000.0,3.0,Finance,2.0,
153,154,43.0,Other,Bangalore,,8.0,IT,4.0,
154,155,59.0,Male,,,12.0,Sales,,2020.0
155,156,30.0,Female,Mumbai,,13.0,,1.0,2012.0
156,157,,Female,Pune,,9.0,,2.0,
157,158,49.0,Female,Bangalore,,5.0,HR,,2010.0
158,159,56.0,Male,,70000.0,,,,2024.0
159,160,,Female,Pune,,5.0,,,2018.0
160,161,,Other,Delhi,40000.0,,,,2024.0
161,162,49.0,Female,Delhi,55000.0,9.0,Sales,,2012.0
162,163,21.0,Female,Bangalore,,,,,
163,164,47.0,Other,,75000.0,,,3.0,2022.0
164,165,54.0,Female,,,,,,2021.0
165,166,40.0,Male,Pune,20000.0,2.0,IT,3.0,
166,167,56.0,Female,Pune,,,Sales,2.0,2010.0
167,168,,Female,,35000.0,,HR,,
168,169,32.0,Male,Pune,,,IT,4.0,2022.0
169,170,,Female,,40000.0,14.0,Finance,5.0,2010.0
170,171,46.0,Other,Mumbai,,14.0,Sales,3.0,2019.0
171,172,53.0,Other,,135000.0,3.0,Sales,,2024.0
172,173,30.0,Female,Delhi,30000.0,8.0,Finance,3.0,2016.0
173,174,49.0,Male,Pune,70000.0,,Finance,,
174,175,24.0,,,,,Finance,,
175,176,,Female,,35000.0,,HR,4.0,2023.0
176,177,39.0,Male,Pune,145000.0,10.0,,,
177,178,45.0,Other,Mumbai,,,Sales,,2016.0
178,179,19.0,Female,Mumbai,,8.0,,3.0,
179,180,59.0,Female,Pune,,9.0,,,
180,181,,Female,Ahmedabad,,,Finance,1.0,2021.0
181,182,23.0,Male,Pune,,,HR,3.0,2017.0
182,183,45.0,Male,Pune,45000.0,12.0,IT,,2011.0
183,184,45.0,Male,Mumbai,90000.0,7.0,HR,4.0,2016.0
184,185,,Female,Mumbai,,6.0,,,2013.0
185,186,,Male,Pune,,,HR,3.0,
186,187,37.0,Male,Pune,,,Finance,1.0,2015.0
187,188,47.0,Male,Pune,,,IT,,2018.0
188,189,28.0,Female,Mumbai,,14.0,Finance,,2018.0
189,190,45.0,Other,Pune,,,IT,,2023.0
190,191,42.0,Male,Pune,,14.0,,3.0,2017.0
191,192,56.0,Male,Bangalore,130000.0,0.0,IT,,
192,193,50.0,Female,Ahmedabad,45000.0,,IT,2.0,2012.0
193,194,18.0,Female,Delhi,35000.0,13.0,IT,4.0,
194,195,44.0,Male,Ahmedabad,105000.0,4.0,HR,3.0,2014.0
195,196,,Female,Bangalore,60000.0,10.0,HR,,2023.0
196,197,30.0,Male,Delhi,,,,1.0,2013.0
197,198,58.0,Male,Pune,80000.0,1.0,IT,,2016.0
198,199,20.0,Female,Bangalore,100000.0,7.0,Sales,,
