id,product,category,price,stock
1,Laptop,Electronics,55000,8
2,Mouse,Electronics,700,25
3,Keyboard,Electronics,1200,15
4,Chair,Furniture,3500,12
5,Table,Furniture,7000,5
6,Mobile,Electronics,25000,10
7,Bottle,Kitchen,300,40
8,Fan,Electronics,2800,7
9,Sofa,Furniture,18000,3
10,TV,Electronics,42000,6
11,Notebook,Stationery,100,50
12,Pen,Stationery,20,100
13,Bag,Fashion,1500,18
14,Shoes,Fashion,3200,9
15,Watch,Fashion,5000,4
16,Fridge,Electronics,30000,5
17,AC,Electronics,38000,2
18,Plate,Kitchen,250,35
19,Cup,Kitchen,150,45
20,Printer,Electronics,9000,6
21,Scanner,Electronics,7500,5
22,Bed,Furniture,25000,2
23,Pillow,Furniture,800,20
24,Jeans,Fashion,2200,11
25,T-shirt,Fashion,900,14
26,Mixer,Kitchen,4500,7
27,Oven,Kitchen,12000,3
28,Router,Electronics,2500,9
29,Speaker,Electronics,6000,8
30,Camera,Electronics,45000,4
